r,m,p_A,p_B,m_A,m_B
0.06300100000000004,3.419058915047155e-07,4.998805839211165e-06,4.997968853770875e-07,2.9189042612944073e-07,5.001546537527474e-08
0.06400100000000004,3.584457204279856e-07,4.998767636212102e-06,4.997903869095319e-07,3.060106006301242e-07,5.243511979786141e-08
0.06500100000000004,3.755104966204797e-07,4.998728831894367e-06,4.997837861221567e-07,3.205789155427483e-07,5.493158107773143e-08
0.06600100000000005,3.9310841753663453e-07,4.99868942627173e-06,4.997770830157415e-07,3.35602368233356e-07,5.7506049303278484e-08
0.06700100000000005,4.112476804114818e-07,4.9986494193581786e-06,4.997702775910785e-07,3.5108795584858555e-07,6.015972456289623e-08
0.06800100000000005,4.2993648225727736e-07,4.99860881116791e-06,4.997633698489716e-07,3.67042675312299e-07,6.289380694497835e-08
0.06900100000000005,4.4918301986013e-07,4.998567601715336e-06,4.997563597902368e-07,3.8347352332221144e-07,6.570949653791851e-08
0.07000100000000005,4.68995489776631e-07,4.998525791015083e-06,4.997492474157024e-07,4.0038749634652057e-07,6.860799343011039e-08
0.07100100000000005,4.893820883304835e-07,4.998483379081988e-06,4.997420327262086e-07,4.177915906205358e-07,7.159049770994765e-08
0.07200100000000005,5.103510116091323e-07,4.9984403659311044e-06,4.997347157226079e-07,4.3569280214330824e-07,7.465820946582397e-08
0.07300100000000005,5.319104554603937e-07,4.998396751577697e-06,4.997272964057646e-07,4.5409812667426057e-07,7.781232878613302e-08
0.07400100000000005,5.540686154890857e-07,4.998352536037242e-06,4.997197747765554e-07,4.7301455972981713e-07,8.105405575926847e-08
0.07500100000000005,5.768336870536584e-07,4.998307719325433e-06,4.997121508358686e-07,4.924490965800343e-07,8.438459047362398e-08
0.07600100000000005,6.002138652628245e-07,4.998262301458174e-06,4.997044245846052e-07,5.124087322452312e-07,8.780513301759324e-08
0.07700100000000006,6.2421734497219e-07,4.998216282451583e-06,4.996965960236778e-07,5.329004614926201e-07,9.131688347956991e-08
0.07800100000000006,6.488523207808856e-07,4.99816966232199e-06,4.996886651540114e-07,5.539312788329379e-07,9.492104194794766e-08
0.07900100000000006,6.741269870281973e-07,4.99812244108594e-06,4.996806319765428e-07,5.755081785170771e-07,9.861880851112016e-08
0.08000100000000006,7.000495377901986e-07,4.99807461876019e-06,4.99672496492221e-07,5.976381545327176e-07,1.024113832574811e-07
0.08100100000000006,7.266281668763817e-07,4.99802619536171e-06,4.996642587020073e-07,6.203282006009576e-07,1.0629996627542413e-07
0.08200100000000006,7.538710678262897e-07,4.997977170907684e-06,4.996559186068747e-07,6.435853101729468e-07,1.1028575765334293e-07
0.08300100000000006,7.817864339061486e-07,4.997927545415509e-06,4.996474762078085e-07,6.674164764265174e-07,1.1436995747963118e-07
0.08400100000000006,8.103824581055e-07,4.997877318902793e-06,4.996389315058061e-07,6.918286922628174e-07,1.1855376584268253e-07
0.08500100000000006,8.396673331338333e-07,4.99782649138736e-06,4.996302845018769e-07,7.168289503029425e-07,1.2283838283089068e-07
0.08600100000000006,8.696492514172191e-07,4.997775062887246e-06,4.996215351970423e-07,7.424242428845699e-07,1.272250085326493e-07
0.08700100000000006,9.003364050949425e-07,4.997723033420699e-06,4.996126835923361e-07,7.686215620585904e-07,1.31714843036352e-07
0.08800100000000007,9.317369860161357e-07,4.997670403006181e-06,4.996037296888037e-07,7.954278995857431e-07,1.3630908643039253e-07
0.08900100000000007,9.638591857364126e-07,4.997617171662367e-06,4.99594673487503e-07,8.22850246933248e-07,1.410089388031645e-07
0.09000100000000007,9.967111955145022e-07,4.997563339408145e-06,4.995855149895038e-07,8.508955952714406e-07,1.4581560024306163e-07
0.09100100000000007,1.030301206308883e-06,4.997508906262616e-06,4.995762541958879e-07,8.795709354704056e-07,1.5073027083847757e-07
0.09200100000000007,1.0646374087744178e-06,4.997453872245094e-06,4.995668911077494e-07,9.088832580966119e-07,1.5575415067780598e-07
0.09300100000000007,1.0997279932589874e-06,4.997398237375104e-06,4.995574257261942e-07,9.388395534095469e-07,1.6088843984944054e-07
0.09400100000000007,1.1355811498001267e-06,4.997342001672389e-06,4.995478580523404e-07,9.69446811358352e-07,1.6613433844177494e-07
0.09500100000000007,1.17220506812166e-06,4.997285165156899e-06,4.995381880873184e-07,1.0007120215784573e-06,1.7149304654320283e-07
0.09600100000000007,1.2096079376303354e-06,4.9972277278488e-06,4.995284158322703e-07,1.0326421733882177e-06,1.769657642421179e-07
0.09700100000000007,1.2477979474124619e-06,4.997169689768471e-06,4.995185412883505e-07,1.0652442557855484e-06,1.825536916269138e-07
