r,m,p_A,p_B,m_A,m_B
12.95700099999826,0.18539837294667377,7.980492469654442e-13,0.0,0.17847184882028494,0.006926524126388807
12.958000999998259,0.18539837598675654,7.955948786710755e-13,0.0,0.1784718518603677,0.006926524126388807
12.959000999998258,0.1853983790206529,7.931462703854448e-13,0.0,0.17847185489426406,0.006926524126388807
12.960000999998257,0.18539838204837641,7.907034077159447e-13,0.0,0.17847185792198758,0.006926524126388807
12.961000999998257,0.18539838506994066,7.882662763080537e-13,0.0,0.17847186094355183,0.006926524126388807
12.962000999998256,0.1853983880853592,7.8583486184523e-13,0.0,0.17847186395897036,0.006926524126388807
12.963000999998256,0.1853983910946455,7.834091500488055e-13,0.0,0.17847186696825668,0.006926524126388807
12.964000999998255,0.18539839409781309,7.809891266778801e-13,0.0,0.17847186997142425,0.006926524126388807
12.965000999998255,0.18539839709487538,7.785747775292168e-13,0.0,0.17847187296848654,0.006926524126388807
12.966000999998254,0.1853984000858458,7.761660884371361e-13,0.0,0.17847187595945696,0.006926524126388807
12.967000999998254,0.18539840307073768,7.737630452734116e-13,0.0,0.17847187894434885,0.006926524126388807
12.968000999998253,0.18539840604956442,7.713656339471654e-13,0.0,0.1784718819231756,0.006926524126388807
12.969000999998253,0.18539840902233934,7.689738404047644e-13,0.0,0.1784718848959505,0.006926524126388807
12.970000999998252,0.1853984119890757,7.665876506297159e-13,0.0,0.17847188786268686,0.006926524126388807
12.971000999998251,0.18539841494978676,7.642070506425648e-13,0.0,0.17847189082339793,0.006926524126388807
12.97200099999825,0.18539841790448575,7.618320265007897e-13,0.0,0.1784718937780969,0.006926524126388807
12.97300099999825,0.18539842085318584,7.594625642987006e-13,0.0,0.178471896726797,0.006926524126388807
12.97400099999825,0.1853984237959002,7.570986501673361e-13,0.0,0.17847189966951138,0.006926524126388807
12.97500099999825,0.185398426732642,7.547402702743607e-13,0.0,0.17847190260625317,0.006926524126388807
12.976000999998249,0.18539842966342432,7.523874108239638e-13,0.0,0.17847190553703549,0.006926524126388807
12.977000999998248,0.1853984325882602,7.500400580567569e-13,0.0,0.17847190846187136,0.006926524126388807
12.978000999998248,0.1853984355071627,7.47698198249673e-13,0.0,0.17847191138077387,0.006926524126388807
12.979000999998247,0.18539843842014483,7.453618177158651e-13,0.0,0.178471914293756,0.006926524126388807
12.980000999998246,0.18539844132721955,7.430309028046056e-13,0.0,0.17847191720083072,0.006926524126388807
12.981000999998246,0.18539844422839982,7.407054399011857e-13,0.0,0.178471920102011,0.006926524126388807
12.982000999998245,0.18539844712369857,7.383854154268152e-13,0.0,0.17847192299730974,0.006926524126388807
12.983000999998245,0.18539845001312866,7.360708158385226e-13,0.0,0.17847192588673982,0.006926524126388807
12.984000999998244,0.18539845289670295,7.337616276290556e-13,0.0,0.17847192877031412,0.006926524126388807
12.985000999998244,0.18539845577443428,7.314578373267812e-13,0.0,0.17847193164804545,0.006926524126388807
12.986000999998243,0.18539845864633545,7.291594314955876e-13,0.0,0.1784719345199466,0.006926524126388807
12.987000999998243,0.18539846151241918,7.268663967347847e-13,0.0,0.17847193738603034,0.006926524126388807
12.988000999998242,0.18539846437269825,7.245787196790057e-13,0.0,0.1784719402463094,0.006926524126388807
12.989000999998241,0.18539846722718534,7.222963869981095e-13,0.0,0.1784719431007965,0.006926524126388807
